epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.7599,1.29292,4.26673,1.46837,0.32705,0.08186,0.05526,0.03733,1.23097,3.46089,1.3616,0.000100137,0.000100137,0.000100137
2,33.0443,1.25884,3.51952,1.415,0.28518,0.23179,0.12176,0.07815,1.30484,2.79648,1.49676,0.000188691,0.000188691,0.000188691
3,47.2214,1.30447,3.096,1.44577,0.28489,0.33108,0.19689,0.12488,1.29748,2.49121,1.49191,0.000264747,0.000264747,0.000264747
4,61.1335,1.27862,2.8178,1.42826,0.29989,0.33687,0.22642,0.14791,1.2869,2.32882,1.45329,0.000246756,0.000246756,0.000246756
5,75.9595,1.25301,2.63373,1.41086,0.29675,0.35988,0.29321,0.19772,1.24925,2.15191,1.43766,0.000228007,0.000228007,0.000228007
6,91.0498,1.23187,2.49059,1.3949,0.35383,0.37524,0.32589,0.2146,1.25543,2.03692,1.44275,0.000209259,0.000209259,0.000209259
7,107.103,1.2046,2.60056,1.39986,0.37203,0.38919,0.32175,0.21264,1.2399,2.11421,1.41986,0.000190511,0.000190511,0.000190511
8,122.884,1.17782,2.46461,1.37182,0.37429,0.42667,0.3431,0.22173,1.26189,1.92185,1.40831,0.000171763,0.000171763,0.000171763
9,137.574,1.18247,2.3831,1.36863,0.40706,0.40757,0.37411,0.25211,1.21735,1.92092,1.39232,0.000153015,0.000153015,0.000153015
10,152.145,1.15226,2.26461,1.35473,0.40262,0.41599,0.37917,0.25244,1.21859,1.84988,1.37723,0.000134267,0.000134267,0.000134267
11,166.727,1.13472,2.19415,1.34017,0.44175,0.44569,0.41958,0.28194,1.20946,1.80381,1.36507,0.000115519,0.000115519,0.000115519
12,181.27,1.11587,2.11664,1.31084,0.3892,0.44702,0.40828,0.2805,1.2052,1.85808,1.35867,9.67706e-05,9.67706e-05,9.67706e-05
13,196.266,1.11765,2.08176,1.32579,0.46062,0.44397,0.42569,0.2923,1.18743,1.7824,1.34307,7.80225e-05,7.80225e-05,7.80225e-05
14,210.79,1.10619,2.01529,1.30569,0.45431,0.45829,0.44278,0.30449,1.18999,1.7093,1.35165,5.92744e-05,5.92744e-05,5.92744e-05
15,225.412,1.09596,1.98149,1.29753,0.47746,0.41473,0.43828,0.29817,1.19103,1.68587,1.33947,4.05263e-05,4.05263e-05,4.05263e-05
16,239.891,1.07899,1.9265,1.2827,0.44095,0.4685,0.44729,0.309,1.18513,1.67586,1.34437,2.17781e-05,2.17781e-05,2.17781e-05
