epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6069,1.3862,3.87962,1.58546,0.26465,0.24468,0.14834,0.09636,1.28387,2.60147,1.40508,0.000100137,0.000100137,0.000100137
2,64.968,1.23573,2.57613,1.38786,0.33381,0.30165,0.26054,0.16883,1.26659,2.24899,1.38342,0.00019118,0.00019118,0.00019118
3,94.1231,1.24207,2.26423,1.35999,0.32749,0.36766,0.30178,0.19488,1.2989,2.03902,1.40623,0.000272225,0.000272225,0.000272225
4,122.826,1.20581,2.05218,1.33398,0.3771,0.4199,0.36044,0.23404,1.26576,1.85847,1.34324,0.000258004,0.000258004,0.000258004
5,151.489,1.18949,1.86878,1.32776,0.41601,0.47006,0.40628,0.26436,1.24638,1.75764,1.34755,0.000243006,0.000243006,0.000243006
6,179.901,1.17159,1.78767,1.31332,0.42453,0.48846,0.43517,0.28638,1.24838,1.69427,1.3533,0.000228007,0.000228007,0.000228007
7,208.43,1.1669,1.66572,1.3128,0.45215,0.46772,0.43796,0.29396,1.2373,1.6697,1.35705,0.000213009,0.000213009,0.000213009
8,235.76,1.14832,1.53942,1.29008,0.51388,0.44693,0.47091,0.31604,1.22369,1.56706,1.34069,0.00019801,0.00019801,0.00019801
9,262.217,1.12401,1.45466,1.27693,0.46945,0.50032,0.46914,0.31922,1.2063,1.59395,1.33381,0.000183012,0.000183012,0.000183012
10,288.377,1.11252,1.41549,1.27275,0.50954,0.4776,0.48587,0.33258,1.20008,1.54405,1.3223,0.000168013,0.000168013,0.000168013
11,314.886,1.08298,1.40224,1.27209,0.50602,0.48838,0.49196,0.33579,1.19531,1.4563,1.3174,0.000153015,0.000153015,0.000153015
12,340.618,1.0575,1.28193,1.24176,0.51947,0.48641,0.5018,0.34288,1.18671,1.47861,1.30261,0.000138016,0.000138016,0.000138016
13,366.266,1.03612,1.20265,1.23024,0.51149,0.54892,0.50259,0.34458,1.19373,1.50224,1.31384,0.000123018,0.000123018,0.000123018
14,391.967,1.02857,1.12196,1.22625,0.5307,0.51766,0.50526,0.34666,1.19953,1.47646,1.3207,0.000108019,0.000108019,0.000108019
15,417.717,1.01514,1.05946,1.20611,0.61621,0.46802,0.52087,0.35442,1.19307,1.42011,1.30029,9.3021e-05,9.3021e-05,9.3021e-05
16,444.624,0.98545,0.99733,1.19288,0.51124,0.51522,0.5146,0.35387,1.19054,1.45822,1.30628,7.80225e-05,7.80225e-05,7.80225e-05
17,474.662,0.97598,0.94512,1.18977,0.5015,0.55569,0.52485,0.36442,1.17576,1.42134,1.29575,6.3024e-05,6.3024e-05,6.3024e-05
18,502.284,0.9624,0.89605,1.17644,0.59461,0.51189,0.52763,0.36415,1.17899,1.41886,1.29182,4.80255e-05,4.80255e-05,4.80255e-05
19,528.494,0.94625,0.85425,1.15954,0.58605,0.51093,0.52363,0.36305,1.17312,1.44472,1.29123,3.3027e-05,3.3027e-05,3.3027e-05
20,554.687,0.93518,0.82693,1.15033,0.63005,0.48078,0.54124,0.37476,1.1703,1.38541,1.29139,1.80285e-05,1.80285e-05,1.80285e-05
